,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,26.0,1963.0,4295598.842412882,22.0,1921.0,4408282.574707118,20.0,1521.0,4645404.999080784,26.0
1,36.0,1908.0,2861137.1044024527,34.0,1953.0,2442231.558788463,36.0,1908.0,3268490.271017905,36.0
2,37.0,1751.0,4423475.6817347165,31.0,1619.0,3537766.675647904,23.0,1267.0,4963548.852869124,38.0
3,39.0,1907.0,4508798.158413757,39.0,1907.0,4384430.330111236,34.0,1958.0,4396822.707680218,39.0
4,26.0,1917.0,3630424.3690124494,24.0,1934.0,3222770.715455589,26.0,1917.0,3400701.7799190455,26.0
5,19.0,1790.0,3021815.196694076,13.0,1892.0,3277302.231823795,19.0,1790.0,3021815.196694076,19.0
6,32.0,1484.0,4875661.225563428,32.0,1484.0,4875661.225563428,24.0,498.0,4759540.760076271,42.0
7,23.0,1101.0,4604260.17231459,25.0,1808.0,4345966.800943416,30.0,1707.0,3481467.774638993,30.0
8,33.0,1910.0,4391320.381432684,26.0,1610.0,4203298.122347229,30.0,1872.0,4948747.965338886,33.0
9,34.0,1601.0,4432757.837458447,30.0,1861.0,4364614.046398675,30.0,1738.0,4881184.625221106,34.0
10,26.0,1931.0,4594092.224302158,20.0,1925.0,2809490.9425883116,26.0,1931.0,4382988.557153561,26.0
11,31.0,1911.0,3384736.8741749167,20.0,1961.0,3818117.3973560454,31.0,1911.0,4975737.271901141,31.0
12,27.0,1338.0,4545050.800088919,35.0,1817.0,3959915.6793092713,35.0,1696.0,4820170.76990488,35.0
